college_name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Howard University,1103654000.0,1272284000.0,1277520000.0,1160568000.0,1299716000.0,1385376000.0,1501244000.0,1520114000.0,1737008000.0,1837096000.0,985259000.0
Stanford University,49406814000.0,55657180000.0,57532480000.0,58171574000.0,66594986000.0,69034874000.0,70583256000.0,75149166000.0,96002162000.0,92947600000.0,46856086000.0
Morehouse College,262206300.0,283293556.0,278625882.0,265937698.0,283962524.0,290202382.0,312280812.0,314819148.0,552088792.0,479959714.0,252216589.0
Swarthmore College,3505560000.0,3973676000.0,3950682000.0,3672356000.0,4035742000.0,2181879700.0,4417710000.0,4381290000.0,5925566000.0,5552294000.0,2771368000.0
Massachusetts Institute of Technology,27660200000.0,32457512000.0,35067528000.0,34956876000.0,38090694000.0,41487546000.0,44166312000.0,48729336000.0,69586876000.0,65097262000.0,30692919000.0
Spelman College,654342752.0,734073394.0,725972810.0,693962344.0,732453416.0,778813604.0,780923992.0,755883018.0,1141693684.0,995489080.0,513974014.0
Amherst College,4365976214.0,5077224472.0,4969429722.0,4554855348.0,5039706770.0,5299532088.0,5504719366.0,5604250184.0,8377491758.0,7660955448.0,3856309911.0
Navajo Technical University,22764374.0,26443246.0,24394220.0,29543366.0,30218432.0,32623984.0,35965176.0,13973488.0,124584932.0,68934774.0,56731091.0
University of Southern California,9417070000.0,10780466000.0,11074654000.0,10631490000.0,11541852000.0,12462622000.0,12702472000.0,13632528000.0,18973218000.0,17618630000.0,848309000.0
Fisk University,116739846.0,159424748.0,190960294.0,170168432.0,196875818.0,173914374.0,177811028.0,217159964.0,229196124.0,221343820.0,114387192.0
Harvard University,132733030000.0,122741710000.0,131794594000.0,134692816000.0,87461276000.0,92438714000.0,94388624000.0,97505620000.0,123895790000.0,119495258000.0,59640569000.0
Haskell Indian Nations University,768412.0,780752.0,520906.0,611606.0,589606.0,674858.0,500262.0,355118.0,390784.0,284100.0,31594.0
University of Georgia,1448942154.0,1557217992.0,1488636780.0,1563445806.0,1698418132.0,1752489600.0,1825352920.0,1907915102.0,1980363098.0,2264520554.0,1160436276.0
University of Central Florida,1461689486.0,1575500632.0,1808988172.0,1725036850.0,1831133756.0,1881514774.0,1814933782.0,1858206314.0,2016947002.0,1935248422.0,1090593696.0
Xavier University of Louisiana,295061914.0,332428550.0,327302752.0,306664934.0,337302544.0,355598920.0,327578336.0,308555826.0,421404720.0,363380244.0,181427803.0
Yale University,51481950000.0,57977398000.0,62385008000.0,61821664000.0,65470564000.0,70227422000.0,74120116000.0,73024126000.0,95660278000.0,92944144000.0,45679156000.0
Colgate University,1589529342.0,1788180022.0,1843560746.0,1699405394.0,1820718342.0,1908465502.0,1933853796.0,1956752292.0,2595346492.0,2445390508.0,1234380337.0
San Diego State University,896207400.0,951356738.0,1084672100.0,1115229568.0,1135772742.0,1298603124.0,1329959968.0,1331057620.0,1311705524.0,1462694680.0,832985856.0
Cornell University,8639377750.0,10042171938.0,10205649398.0,9820178384.0,11190902856.0,11949540662.0,12516257832.0,12628343800.0,17002503050.0,16856486906.0,8449102016.0
University of Arizona,1652716000.0,1631352000.0,2063732000.0,1988114000.0,2090550000.0,2174398000.0,2069734000.0,2299504000.0,2407826000.0,2219512000.0,1167830000.0
Tuskegee University,292958430.0,322033872.0,306353764.0,294092048.0,309834852.0,311122288.0,319744136.0,310709714.0,401154668.0,367752238.0,193723228.0
University of North Carolina at Chapel Hill,3808915816.0,4287902778.0,4694501500.0,3984210058.0,3779390180.0,3848221796.0,4212749234.0,4270586478.0,4933545700.0,5528094506.0,2857156316.0
Baylor University,2259318000.0,2435018000.0,2433522000.0,2396096000.0,2556508000.0,2722000000.0,2743998000.0,2851330000.0,3811232000.0,4367520000.0,2178636000.0
Sisseton Wahpeton College,8641518.0,8310122.0,7540686.0,5940750.0,5261232.0,5885210.0,4526616.0,6165276.0,23825338.0,19803700.0,8415555.0
Davidson College,1162482172.0,1329161690.0,1347214910.0,1317729494.0,1461424868.0,1655427222.0,1782105242.0,1794272968.0,2697069586.0,2613189104.0,1307044678.0
University of Florida,3131756000.0,3394360000.0,3806922000.0,3983162000.0,3933318000.0,4218218000.0,4555270000.0,4639624000.0,5082816000.0,6855338000.0,4496670000.0
Hampton University,515183038.0,597836654.0,565573156.0,529674522.0,587690402.0,606665368.0,605874146.0,603947024.0,791127708.0,725320456.0,366381490.0
University of Vermont,1044120000.0,1077034000.0,1146606000.0,1253804000.0,1281400878.0,1311350000.0,1386244000.0,1489430000.0,1577886000.0,1636248000.0,839622000.0
Reed College,1026015086.0,1153516934.0,1136373340.0,1034986354.0,1155058272.0,1249015576.0,1250193148.0,1235745014.0,1681057064.0,1562705144.0,834525099.0
Princeton University,37572264000.0,43200928000.0,46625130000.0,45260242000.0,49169524000.0,53147452000.0,53854334000.0,55246734000.0,77689952000.0,74953458000.0,34852245000.0
