college_name,UNITID,INSTNM,CONTROL,SECTOR,CITY,STABBR,match_type
Howard University,131520,Howard University,2,2,Washington,DC,exact
Stanford University,243744,Stanford University,2,2,Stanford,CA,exact
Morehouse College,140553,Morehouse College,2,2,Atlanta,GA,exact
Swarthmore College,216287,Swarthmore College,2,2,Swarthmore,PA,exact
Massachusetts Institute of Technology,166683,Massachusetts Institute of Technology,2,2,Cambridge,MA,exact
Spelman College,141060,Spelman College,2,2,Atlanta,GA,exact
Amherst College,164465,Amherst College,2,2,Amherst,MA,exact
Navajo Technical University,187596,Navajo Technical University,1,1,Crownpoint,NM,exact
University of Southern California,123961,University of Southern California,2,2,Los Angeles,CA,exact
Fisk University,220181,Fisk University,2,2,Nashville,TN,exact
Harvard University,166027,Harvard University,2,2,Cambridge,MA,exact
Haskell Indian Nations University,155140,Haskell Indian Nations University,1,1,Lawrence,KS,exact
University of Georgia,139959,University of Georgia,1,1,Athens,GA,exact
University of Central Florida,132903,University of Central Florida,1,1,Orlando,FL,exact
Xavier University of Louisiana,160904,Xavier University of Louisiana,2,2,New Orleans,LA,exact
Yale University,130794,Yale University,2,2,New Haven,CT,exact
Colgate University,190099,Colgate University,2,2,Hamilton,NY,exact
San Diego State University,122409,San Diego State University,1,1,San Diego,CA,exact
Cornell University,190415,Cornell University,2,2,Ithaca,NY,exact
University of Arizona,104179,University of Arizona,1,1,Tucson,AZ,exact
Tuskegee University,102377,Tuskegee University,2,2,Tuskegee,AL,exact
University of North Carolina at Chapel Hill,199120,University of North Carolina at Chapel Hill,1,1,Chapel Hill,NC,exact
Baylor University,223232,Baylor University,2,2,Waco,TX,exact
Sisseton Wahpeton College,219408,Sisseton Wahpeton College,1,1,Sisseton,SD,exact
Davidson College,198385,Davidson College,2,2,Davidson,NC,exact
University of Florida,134130,University of Florida,1,1,Gainesville,FL,exact
Hampton University,232265,Hampton University,2,2,Hampton,VA,exact
University of Vermont,231174,University of Vermont,1,1,Burlington,VT,exact
Reed College,209922,Reed College,2,2,Portland,OR,exact
Princeton University,186131,Princeton University,2,2,Princeton,NJ,exact
Claremont McKenna College,112260,Claremont McKenna College,2,2,Claremont,CA,exact
Oglala Lakota College,219277,Oglala Lakota College,1,1,Kyle,SD,exact
University of Kansas,155317,University of Kansas,1,1,Lawrence,KS,exact
Jackson State University,175856,Jackson State University,1,1,Jackson,MS,exact
Middlebury College,230959,Middlebury College,2,2,Middlebury,VT,exact
University of Mississippi,176017,University of Mississippi,1,1,University,MS,exact
Northwestern University,147767,Northwestern University,2,2,Evanston,IL,exact
Sitting Bull College,200466,Sitting Bull College,1,1,Fort Yates,ND,exact
Brown University,217156,Brown University,2,2,Providence,RI,exact
College of Menominee Nation,413617,College of Menominee Nation,2,2,Keshena,WI,exact
Rollins College,136950,Rollins College,2,2,Winter Park,FL,exact
Rice University,227757,Rice University,2,2,Houston,TX,exact
University of North Texas,227216,University of North Texas,1,1,Denton,TX,exact
University of Utah,230764,University of Utah,1,1,Salt Lake City,UT,exact
Florida International University,133951,Florida International University,1,1,Miami,FL,exact
Loyola Marymount University,117946,Loyola Marymount University,2,2,Los Angeles,CA,exact
Fort Lewis College,127185,Fort Lewis College,1,1,Durango,CO,exact
Leech Lake Tribal College,413626,Leech Lake Tribal College,1,4,Cass Lake,MN,exact
Rutgers University-New Brunswick,186380,Rutgers University-New Brunswick,1,1,New Brunswick,NJ,exact
Drexel University,212054,Drexel University,2,2,Philadelphia,PA,exact
University of Connecticut,129020,University of Connecticut,1,1,Storrs,CT,exact
Grinnell College,153384,Grinnell College,2,2,Grinnell,IA,exact
University of Denver,127060,University of Denver,2,2,Denver,CO,exact
New York University,193900,New York University,2,2,New York,NY,exact
Bowdoin College,161004,Bowdoin College,2,2,Brunswick,ME,exact
University of Louisville,157289,University of Louisville,1,1,Louisville,KY,exact
Bard College,189088,Bard College,2,2,Annandale-On-Hudson,NY,exact
Simmons University,167783,Simmons University,2,2,Boston,MA,exact
University of Kentucky,157085,University of Kentucky,1,1,Lexington,KY,exact
DePauw University,150400,DePauw University,2,2,Greencastle,IN,exact
Sweet Briar College,233718,Sweet Briar College,2,2,Sweet Briar,VA,exact
Illinois State University,145813,Illinois State University,1,1,Normal,IL,exact
University of Wisconsin-Madison,240444,University of Wisconsin-Madison,1,1,Madison,WI,exact
Wellesley College,168218,Wellesley College,2,2,Wellesley,MA,exact
