college_name,Total Students,Top Group 1,Top Group 2,Top Group 3
Howard University,77112,Black or African American,Nonresident Alien,Asian
Stanford University,112674,White,Nonresident Alien,Asian
Morehouse College,22592,Black or African American,Nonresident Alien,Race/Ethnicity Unknown
Swarthmore College,14684,White,Asian,Hispanic/Latino
Massachusetts Institute of Technology,69400,White,Nonresident Alien,Asian
Spelman College,20404,Black or African American,Race/Ethnicity Unknown,Two or More Races
Amherst College,17244,White,Hispanic/Latino,Asian
Navajo Technical University,15980,American Indian or Alaska Native,Hispanic/Latino,White
University of Southern California,262398,White,Asian,Nonresident Alien
Fisk University,5594,Black or African American,Race/Ethnicity Unknown,Nonresident Alien
Harvard University,158478,White,Nonresident Alien,Asian
Haskell Indian Nations University,7960,American Indian or Alaska Native,Nonresident Alien,Hispanic/Latino
University of Georgia,284964,White,Asian,Black or African American
University of Central Florida,530734,White,Hispanic/Latino,Black or African American
Xavier University of Louisiana,26424,Black or African American,Asian,White
Yale University,77312,White,Nonresident Alien,Asian
Colgate University,27174,White,Hispanic/Latino,Nonresident Alien
San Diego State University,270058,White,Hispanic/Latino,Asian
Cornell University,164528,White,Asian,Nonresident Alien
University of Arizona,334088,White,Hispanic/Latino,Nonresident Alien
Tuskegee University,26788,Black or African American,Race/Ethnicity Unknown,Nonresident Alien
University of North Carolina at Chapel Hill,217960,White,Black or African American,Asian
Baylor University,132064,White,Hispanic/Latino,Black or African American
Sisseton Wahpeton College,1684,American Indian or Alaska Native,White,Black or African American
Davidson College,16900,White,Black or African American,Hispanic/Latino
University of Florida,380716,White,Hispanic/Latino,Black or African American
Hampton University,40022,Black or African American,White,Nonresident Alien
University of Vermont,110838,White,Race/Ethnicity Unknown,Hispanic/Latino
Reed College,13604,White,Race/Ethnicity Unknown,Hispanic/Latino
Princeton University,60860,White,Asian,Nonresident Alien
Claremont McKenna College,12142,White,Race/Ethnicity Unknown,Nonresident Alien
Oglala Lakota College,15106,American Indian or Alaska Native,White,Hispanic/Latino
University of Kansas,214584,White,Nonresident Alien,Hispanic/Latino
Jackson State University,73580,Black or African American,White,Two or More Races
Middlebury College,23848,White,Nonresident Alien,Hispanic/Latino
University of Mississippi,163714,White,Black or African American,Hispanic/Latino
Northwestern University,135282,White,Asian,Nonresident Alien
Sitting Bull College,2652,American Indian or Alaska Native,White,Hispanic/Latino
Brown University,69870,White,Nonresident Alien,Asian
College of Menominee Nation,6442,American Indian or Alaska Native,White,Black or African American
Rollins College,27884,White,Hispanic/Latino,Black or African American
Rice University,47010,White,Asian,Nonresident Alien
University of North Texas,326412,White,Hispanic/Latino,Black or African American
University of Utah,268132,White,Hispanic/Latino,Nonresident Alien
Florida International University,395936,Hispanic/Latino,Black or African American,White
Loyola Marymount University,71430,White,Hispanic/Latino,Asian
Fort Lewis College,36464,White,American Indian or Alaska Native,Hispanic/Latino
Leech Lake Tribal College,3116,American Indian or Alaska Native,White,Two or More Races
Rutgers University-New Brunswick,337486,White,Asian,Hispanic/Latino
Drexel University,189912,White,Asian,Nonresident Alien
University of Connecticut,199440,White,Race/Ethnicity Unknown,Asian
Grinnell College,15600,White,Nonresident Alien,Hispanic/Latino
University of Denver,76522,White,Nonresident Alien,Hispanic/Latino
New York University,301100,White,Asian,Race/Ethnicity Unknown
Bowdoin College,17374,White,Hispanic/Latino,Asian
University of Louisville,170410,White,Black or African American,Hispanic/Latino
Bard College,20176,White,Race/Ethnicity Unknown,Nonresident Alien
Simmons University,29194,White,Race/Ethnicity Unknown,Black or African American
University of Kentucky,226240,White,Black or African American,Nonresident Alien
DePauw University,22056,White,Nonresident Alien,Black or African American
Sweet Briar College,6314,White,Black or African American,Hispanic/Latino
Illinois State University,185878,White,Hispanic/Latino,Black or African American
