university,type_1,type_2,region,Latitude,Longitude,"publishing_program (1=yes, 0=no)","press (1=yes, 0=no)",student_pop_size_2022_average,demogs_1_2022,demogs_2_2022,demogs_3_2022,student_pop_size_2012_average,demogs_1_2012,demogs_2_2012,demogs_3_2012,2012_revenue,2013_revenue,2014_revenue,2015_revenue,2016_revenue,2017_revenue,2018_revenue,2019_revenue,2020_revenue,2021_revenue,2022_revenue
University of Michigan,R1,Public,Midwest,42.278,-83.738,1,1,48232,White,Black or African American,Hispanic/Latino,72580,White,Black or African American,Race/Ethnicity Unknown,251728000,258318000,270034000,274724000,272456000,264936000,266548000,261948000,334702000,338868000,157191000
Howard University,HBCU,Private,Mid-Atlantic,38.922,-77.019,1,0,103148,Black or African American,Race/Ethnicity Unknown,Hispanic/Latino,77112,Black or African American,Nonresident Alien,Asian,1103654000,1272284000,1277520000,1160568000,1299716000,1385376000,1501244000,1520114000,1737008000,1837096000,985259000
Stanford University,R1,,West,37.427,-122.17,1,1,116808,White,Asian,Nonresident Alien,112674,White,Nonresident Alien,Asian,49406814000,55657180000,57532480000,58171574000,66594986000,69034874000,70583256000,75149166000,96002162000,92947600000,46856086000
Morehouse College,HBCU,,South,33.747,-84.415,1,0,24310,Black or African American,Two or More Races,Nonresident Alien,22592,Black or African American,Nonresident Alien,Race/Ethnicity Unknown,262206300,283293556,278625882,265937698,283962524,290202382,312280812,314819148,552088792,479959714,252216589
"University of California, Berkeley",R1,HSI,West,37.871,-122.258,1,1,362634,Asian,White,Hispanic/Latino,289892,Asian,White,Hispanic/Latino,1279720000,1382534000,1460314000,1562162000,1668882000,1867818000,1937098000,2023648000,1872604000,2007336000,1036402000
Swarthmore College,Liberal Arts,,Mid-Atlantic,39.906,-75.355,1,0,15360,White,Asian,Hispanic/Latino,14684,White,Asian,Hispanic/Latino,3505560000,3973676000,3950682000,3672356000,4035742000,2181879700,4417710000,4381290000,5925566000,5552294000,2771368000
New Mexico State University,R2,HSI,West,32.278,-106.747,1,0,6154,Hispanic/Latino,American Indian or Alaska Native,White,8798,Hispanic/Latino,American Indian or Alaska Native,White,10038302,1438788,1227874,1123082,1200324,1169746,1216818,964228,935776,1554958,627009
Florida A&M University,HBCU,,South,30.426,-84.284,1,0,361220,White,Hispanic/Latino,Black or African American,342306,White,Hispanic/Latino,Black or African American,1758010782,1875156242,2064707006,2079211296,2015451136,2044262878,2035645978,2099461812,2467537448,2773282302,1635397498
Massachusetts Institute of Technology,R1,,Northeast,42.36,-71.094,1,1,73026,Asian,White,Nonresident Alien,69400,White,Nonresident Alien,Asian,27660200000,32457512000,35067528000,34956876000,38090694000,41487546000,44166312000,48729336000,69586876000,65097262000,30692919000
Spelman College,HBCU,Women's College,South,33.746,-84.41,1,0,29850,Black or African American,White,Race/Ethnicity Unknown,20404,Black or African American,Race/Ethnicity Unknown,Two or More Races,654342752,734073394,725972810,693962344,732453416,778813604,780923992,755883018,1141693684,995489080,513974014
