university,type_1,type_2,region,Latitude,Longitude,publishing_program,press,student_pop_size_2022_average,demogs_1_2022,demogs_2_2022,demogs_3_2022,student_pop_size_2012_average,demogs_1_2012,demogs_2_2012,demogs_3_2012,year,revenue
University of Michigan,R1,Public,Midwest,42.278,-83.738,1,1,48232,White,Black or African American,Hispanic/Latino,72580,White,Black or African American,Race/Ethnicity Unknown,2012,251728000
Howard University,HBCU,Private,Mid-Atlantic,38.922,-77.019,1,0,103148,Black or African American,Race/Ethnicity Unknown,Hispanic/Latino,77112,Black or African American,Nonresident Alien,Asian,2012,1103654000
Stanford University,R1,,West,37.427,-122.17,1,1,116808,White,Asian,Nonresident Alien,112674,White,Nonresident Alien,Asian,2012,49406814000
Morehouse College,HBCU,,South,33.747,-84.415,1,0,24310,Black or African American,Two or More Races,Nonresident Alien,22592,Black or African American,Nonresident Alien,Race/Ethnicity Unknown,2012,262206300
"University of California, Berkeley",R1,HSI,West,37.871,-122.258,1,1,362634,Asian,White,Hispanic/Latino,289892,Asian,White,Hispanic/Latino,2012,1279720000
Swarthmore College,Liberal Arts,,Mid-Atlantic,39.906,-75.355,1,0,15360,White,Asian,Hispanic/Latino,14684,White,Asian,Hispanic/Latino,2012,3505560000
New Mexico State University,R2,HSI,West,32.278,-106.747,1,0,6154,Hispanic/Latino,American Indian or Alaska Native,White,8798,Hispanic/Latino,American Indian or Alaska Native,White,2012,10038302
Florida A&M University,HBCU,,South,30.426,-84.284,1,0,361220,White,Hispanic/Latino,Black or African American,342306,White,Hispanic/Latino,Black or African American,2012,1758010782
Massachusetts Institute of Technology,R1,,Northeast,42.36,-71.094,1,1,73026,Asian,White,Nonresident Alien,69400,White,Nonresident Alien,Asian,2012,27660200000
Spelman College,HBCU,Women's College,South,33.746,-84.41,1,0,29850,Black or African American,White,Race/Ethnicity Unknown,20404,Black or African American,Race/Ethnicity Unknown,Two or More Races,2012,654342752
Amherst College,Liberal Arts,,Northeast,42.3709,-72.517,1,1,18046,White,Hispanic/Latino,Asian,17244,White,Hispanic/Latino,Asian,2012,4365976214
Navajo Technical University,TCU,,West,35.8932,-108.5087,1,0,11374,American Indian or Alaska Native,Hispanic/Latino,White,15980,American Indian or Alaska Native,Hispanic/Latino,White,2012,22764374
University of Texas Rio Grande Valley,R2,HSI,South,26.3077,-98.1747,1,0,273244,Hispanic/Latino,White,Nonresident Alien,170324,Hispanic/Latino,White,Nonresident Alien,2012,369585698
University of Southern California,R1,Private,West,34.0224,-118.2851,1,1,312358,White,Nonresident Alien,Asian,262398,White,Asian,Nonresident Alien,2012,9417070000
Fisk University,HBCU,,South,36.1659,-86.8055,1,0,9666,Black or African American,Nonresident Alien,Race/Ethnicity Unknown,5594,Black or African American,Race/Ethnicity Unknown,Nonresident Alien,2012,116739846
Harvard University,R1,,Northeast,42.377,-71.1167,1,1,169864,White,Nonresident Alien,Asian,158000,White,Nonresident Alien,Asian,2012,1.33E+11
Haskell Indian Nations University,TCU,,Midwest,38.9387,-95.2353,1,0,6860,American Indian or Alaska Native,Nonresident Alien,Hispanic/Latino,7960,American Indian or Alaska Native,Nonresident Alien,Hispanic/Latino,2012,768412
University of Georgia,R1,,South,33.948,-83.3773,1,1,333574,White,Asian,Hispanic/Latino,284964,White,Asian,Black or African American,2012,1448942154
University of Central Florida,R1,HSI,South,28.6024,-81.2001,1,0,609102,White,Hispanic/Latino,Black or African American,530734,White,Hispanic/Latino,Black or African American,2012,1461689486
Xavier University of Louisiana,HBCU,,South,29.9654,-90.107,1,1,28116,Black or African American,Hispanic/Latino,Two or More Races,26424,Black or African American,Asian,White,2012,295061914
Yale University,R1,,Northeast,41.3163,-72.9223,1,1,95842,White,Asian,Nonresident Alien,77312,White,Nonresident Alien,Asian,2012,51481950000
Colgate University,Liberal Arts,,Northeast,42.817,-75.5385,1,0,29696,White,Hispanic/Latino,Nonresident Alien,27174,White,Hispanic/Latino,Nonresident Alien,2012,1589529342
San Diego State University,R2,HSI,West,32.7757,-117.0711,1,1,328090,Hispanic/Latino,White,Asian,270058,White,Hispanic/Latino,Asian,2012,896207400
Cornell University,R1,,Northeast,42.4534,-76.4735,1,1,190784,White,Asian,Nonresident Alien,164528,White,Asian,Nonresident Alien,2012,8639377750
University of Arizona,R1,HSI,West,32.2319,-110.9501,1,1,408892,White,Hispanic/Latino,Nonresident Alien,334088,White,Hispanic/Latino,Nonresident Alien,2012,1652716000
Tuskegee University,HBCU,,South,32.43,-85.7076,1,0,21814,Black or African American,Race/Ethnicity Unknown,Hispanic/Latino,26788,Black or African American,Race/Ethnicity Unknown,Nonresident Alien,2012,292958430
University of Washington,R1,,West,47.6553,-122.3035,1,1,34288,White,Hispanic/Latino,Black or African American,45004,White,Race/Ethnicity Unknown,Black or African American,2012,113201576
Institute of American Indian and Alaska Native Culture and Arts Development,TCU,,West,35.5863,-106.0218,1,0,6194,American Indian or Alaska Native,Hispanic/Latino,White,3246,American Indian or Alaska Native,White,Hispanic/Latino,2012,9910514
University of North Carolina at Chapel Hill,R1,,South,35.9049,-79.0469,1,1,237692,White,Asian,Hispanic/Latino,217960,White,Black or African American,Asian,2012,3808915816
Baylor University,R1,Private,South,31.5493,-97.1143,1,1,167206,White,Hispanic/Latino,Asian,132064,White,Hispanic/Latino,Black or African American,2012,2259318000
Sisseton Wahpeton College,TCU,,Midwest,45.6655,-97.0172,0,0,1758,American Indian or Alaska Native,White,Two or More Races,1684,American Indian or Alaska Native,White,Black or African American,2012,8641518
Texas A&M International University,R2,HSI,South,27.573,-99.4388,1,0,71200,Hispanic/Latino,Nonresident Alien,White,65366,Hispanic/Latino,Nonresident Alien,White,2012,96072668
Davidson College,Liberal Arts,,South,35.5006,-80.8453,1,0,18166,White,Nonresident Alien,Hispanic/Latino,16900,White,Black or African American,Hispanic/Latino,2012,1162482172
University of Florida,R1,,South,29.6516,-82.3248,1,0,411416,White,Hispanic/Latino,Asian,380716,White,Hispanic/Latino,Black or African American,2012,3131756000
Hampton University,HBCU,,Mid-Atlantic,37.0175,-76.3371,1,0,28486,Black or African American,Race/Ethnicity Unknown,White,40022,Black or African American,White,Nonresident Alien,2012,515183038
University of Vermont,R2,,Northeast,44.4759,-73.1965,1,1,119452,White,Hispanic/Latino,Two or More Races,110838,White,Race/Ethnicity Unknown,Hispanic/Latino,2012,1044120000
Reed College,Liberal Arts,,West,45.4805,-122.6305,1,0,14370,White,Hispanic/Latino,Two or More Races,13604,White,Race/Ethnicity Unknown,Hispanic/Latino,2012,1026015086
Princeton University,R1,,Mid-Atlantic,40.3431,-74.6551,1,1,65690,White,Asian,Nonresident Alien,60860,White,Asian,Nonresident Alien,2012,37572264000
Claremont McKenna College,Liberal Arts,,West,34.1019,-117.709,1,0,13216,White,Hispanic/Latino,Asian,12142,White,Race/Ethnicity Unknown,Nonresident Alien,2012,1455966000
"University of California, Merced",R2,HSI,West,37.3649,-120.4248,1,0,81684,Hispanic/Latino,Asian,White,52642,Hispanic/Latino,Asian,White,2012,105814000
University of Illinois at Urbana-Champaign,R1,,Midwest,40.102,-88.2272,1,1,418114,White,Asian,Nonresident Alien,353840,White,Nonresident Alien,Asian,2012,2602712104
North Carolina A&T State University,HBCU,R2,South,36.0735,-79.774,1,0,117676,Black or African American,Hispanic/Latino,Two or More Races,91196,Black or African American,White,Race/Ethnicity Unknown,2012,205421800
Oglala Lakota College,TCU,,Midwest,43.1896,-102.7459,1,0,11260,American Indian or Alaska Native,White,Two or More Races,15106,American Indian or Alaska Native,White,Hispanic/Latino,2012,109796970
