Institution_Name,Latitude,Longitude
University of Michigan,42.278,-83.738
Howard University,38.922,-77.019
Stanford University,37.427,-122.17
Morehouse College,33.747,-84.415
"University of California, Berkeley",37.871,-122.258
Swarthmore College,39.906,-75.355
New Mexico State University,32.278,-106.747
Florida A&M University,30.426,-84.284
Massachusetts Institute of Technology,42.36,-71.094
Spelman College,33.746,-84.41
Amherst College,42.3709,-72.517
Navajo Technical University,35.8932,-108.5087
University of Texas Rio Grande Valley,26.3077,-98.1747
University of Southern California,34.0224,-118.2851
Fisk University,36.1659,-86.8055
Harvard University,42.377,-71.1167
Haskell Indian Nations University,38.9387,-95.2353
University of Georgia,33.948,-83.3773
University of Central Florida,28.6024,-81.2001
Xavier University of Louisiana,29.9654,-90.107
Yale University,41.3163,-72.9223
Colgate University,42.817,-75.5385
San Diego State University,32.7757,-117.0711
Cornell University,42.4534,-76.4735
University of Arizona,32.2319,-110.9501
Tuskegee University,32.43,-85.7076
University of Washington,47.6553,-122.3035
Institute of American Indian Arts,35.5863,-106.0218
University of North Carolina at Chapel Hill,35.9049,-79.0469
Baylor University,31.5493,-97.1143
Sisseton Wahpeton College,45.6655,-97.0172
Texas A&M International University,27.573,-99.4388
Davidson College,35.5006,-80.8453
University of Florida,29.6516,-82.3248
Hampton University,37.0175,-76.3371
University of Vermont,44.4759,-73.1965
Reed College,45.4805,-122.6305
Princeton University,40.3431,-74.6551
Claremont McKenna College,34.1019,-117.709
"University of California, Merced",37.3649,-120.4248
University of Illinois at Urbana-Champaign,40.102,-88.2272
North Carolina A&T State University,36.0735,-79.774
Oglala Lakota College,43.1896,-102.7459
University of New Mexico,35.0845,-106.6198
Purdue University,40.4237,-86.9212
University of Kansas,38.9543,-95.2558
Jackson State University,32.2968,-90.2078
Middlebury College,44.007,-73.1765
"University of Maryland, College Park",38.9869,-76.9426
University of Mississippi,34.3659,-89.5383
Northwestern University,42.0559,-87.6753
Georgia Institute of Technology,33.7756,-84.3963
Sitting Bull College,46.0896,-101.3555
Colorado State University,40.5734,-105.0865
Brown University,41.8268,-71.4025
College of Menominee Nation,44.8772,-88.6107
University of Oklahoma,35.2059,-97.4458
Rollins College,28.592,-81.348
Rice University,29.7174,-95.4018
University of North Texas,33.21,-97.148
University of Virginia,38.0336,-78.508
University of Utah,40.7649,-111.8421
University of Tennessee,35.954,-83.9299
Florida International University,25.757,-80.3773
Loyola Marymount University,33.9701,-118.4175
Fort Lewis College,37.2753,-107.8794
"University of California, Davis",38.5382,-121.7617
Leech Lake Tribal College,47.5097,-94.892
